tipo	caminho	titulo	h1	meta_descricao	palavras
pagina	index.html	CDA - Câmara dos Despachantes Aduaneiros de Moçambique		Câmara dos Despachantes Aduaneiros de Moçambique	722
pagina	index.php/2016-03-20-14-40-08/como-ser-membro	Como ser Membro	Como ser Membro	Câmara dos Despachantes Aduaneiros de Moçambique	471
pagina	index.php/2016-03-20-14-40-08/como-ser-membro?change_direction=1	Como ser Membro	Como ser Membro	Câmara dos Despachantes Aduaneiros de Moçambique	488
pagina	index.php/2016-03-20-14-40-08/como-ser-membro?change_direction=2	Como ser Membro	Como ser Membro	Câmara dos Despachantes Aduaneiros de Moçambique	471
pagina	index.php/2016-03-20-14-40-08/fichas-de-inscricao	Fichas de Inscrição		Câmara dos Despachantes Aduaneiros de Moçambique	397
pagina	index.php/2016-03-20-14-40-08/fichas-de-inscricao?change_direction=1	Fichas de Inscrição		Câmara dos Despachantes Aduaneiros de Moçambique	414
pagina	index.php/2016-03-20-14-40-08/fichas-de-inscricao?change_direction=2	Fichas de Inscrição		Câmara dos Despachantes Aduaneiros de Moçambique	397
documento	index.php/2016-03-20-14-40-08/fichas-de-inscricao?download=14:ficha-de-inscricao-do-despachante-aduaneiro				49
documento	index.php/2016-03-20-14-40-08/fichas-de-inscricao?download=15:ficha-de-registo-de-sociedades				47
documento	index.php/2016-03-20-14-40-08/fichas-de-inscricao?download=16:ficha-de-ajudante-de-despachante				87
documento	index.php/2016-03-20-14-40-08/fichas-de-inscricao?download=17:ficha-de-praticante-de-despachante				127
pagina	index.php/2016-03-20-14-40-08/lista-de-membros	Lista de Membros	Lista de Membros	Câmara dos Despachantes Aduaneiros de Moçambique	7786
pagina	index.php/2016-03-20-14-40-08/lista-de-membros?change_direction=1	Lista de Membros	Lista de Membros	Câmara dos Despachantes Aduaneiros de Moçambique	7803
pagina	index.php/2016-03-20-14-40-08/lista-de-membros?change_direction=2	Lista de Membros	Lista de Membros	Câmara dos Despachantes Aduaneiros de Moçambique	7786
pagina	index.php/boletims	Boletins		Câmara dos Despachantes Aduaneiros de Moçambique	319
noticia	index.php/component/k2/item/163-a-cda-informa-todos-os-seus-membros-e-ao-publico-em-geral-que-os-escritorios-da-cda-sede-e-as-delegacoes-regionais-centro-e-norte-estarao-encerados-entre-os-dias-24-de-dezembro-de-2019-a-03-de-janeiro-de-2020-para-ferias-colectivas-	A CDA Informa todos os seus Membros e ao Público em Geral que os Escritórios da CDA-Sede e as Delegações Regionais Centro e Norte,  estarão encerados entre os dias 24 de Dezembro de 2019 à 03 de Janeiro de 2020, para férias colectivas devido a quadra			318
noticia	index.php/component/k2/item/164-visao-geral-da-economia-politica-e-social-de-mocambique-ano-2019	Visão Geral da Economia, Política e Social de Moçambique ano 2019 do Presidente da CDA		Visão Geral da Economia, Política e Social de Moçambique até 2019 do Presidente da CDA Dixon Chongo. Ver mais	306
noticia	index.php/component/k2/item/169-dixon-chongo-prepara-a-casa-para-transformar-em-ordem-dos-despachantes-aduaneiros-de-mocambique	Dixon Chongo Prepara a Casa para Transformar em Ordem dos Despachantes Aduaneiros de Moçambique		O Presidente da Câmara dos Despachantes Aduaneiros de Moçambique, Dixon Chongo, informou que o ambiente no seio da classe dos Despachantes Aduanieros...	467
noticia	index.php/component/k2/item/171-o-impacto-da-covid-19-no-comercio-internacional	O Impacto da Covid-19 no Comércio Internacional		O Impacto da Covid-19 no Comércio Internacional Dixon Chongo - Presidente da Câmara dos Despachantes Aduaneiros de Moçambique. Veja!	297
noticia	index.php/component/k2/item/172-cabo-delgado-quer-paz	Cabo Delgado Quer Paz		Cabo Delgado Quer Paz. Veja	281
noticia	index.php/component/k2/item/192-lista-unica-de-candidatura-as-eleicoes-dos-orgaos-sociais-da-cda-para-o-trienio-2024-2026	Lista única de Candidatura as eleições dos órgãos sociais da CDA para o Triénio 2024 - 2026			288
noticia	index.php/component/k2/item/193-lista-unica-candidatura-a-presidencia-da-cda	LISTA ÚNICA - Candidatura à Presidência da CDA		EDITAL Por meio deste, nos termos do nº 2 do artigo 9 do Regulamento para Eleição dos Orgãos da Câmara dos Despachantes Aduaneiros de Moçambique, comu...	389
noticia	index.php/component/k2/item/194-semana-destacada-para-lideres-femininas-aduaneiras-asapra	Semana destacada para líderes femininas aduaneiras - ASAPRA		Salmate Chuaibo - Presidente da CDA Minha ascensão à presidência da Câmara dos Despachantes Aduaneiros de Moçambique reflete não apenas um compromiss...	540
noticia	index.php/component/k2/item/195-visita-de-cortesia-do-tribunal-aduaneiro-de-sofala-realizada-aos-escritorios-da-cda-beira	Visita de cortesia do Tribunal Aduaneiro de Sofala realizada aos escritórios da CDA Beira		Visita de cortesia do Tribunal Aduaneiro de Sofala realizada aos escritórios da CDA Beira No dia 27 de outubro de 2025 , a CDA Reg. Centro recebeu uma...	492
pagina	index.php/component/mailto/index.html?tmpl=component&template=businessreport&link=292319db2b3c4fc04a4ac86efc6b2f6daec3c27a	CDA		Câmara dos Despachantes Aduaneiros de Moçambique	128
pagina	index.php/component/mailto/index.html?tmpl=component&template=businessreport&link=36cdfe72d77344ffba78dbc0e5a18207e2ce38ef	CDA		Câmara dos Despachantes Aduaneiros de Moçambique	128
pagina	index.php/component/mailto/index.html?tmpl=component&template=businessreport&link=6d5a7a578d7d74635c5e1023f95219d6470e732d	CDA		Câmara dos Despachantes Aduaneiros de Moçambique	128
pagina	index.php/component/mailto/index.html?tmpl=component&template=businessreport&link=b1ad41f8c8389f1e125a74f9bdd0923f194557af	CDA		Câmara dos Despachantes Aduaneiros de Moçambique	128
pagina	index.php/component/mailto/index.html?tmpl=component&template=businessreport&link=c0fc603c67558d4b89e926c38f3ae21154999ff2	CDA		Câmara dos Despachantes Aduaneiros de Moçambique	128
